date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
2024-10-13,1.4854902541,1.7883702064,5.6140905712,1.3782901397,0.8581300863,7.0676113765,23.1678333665,6.8284509562,0.9151801411,0.7663401473,7.769790915,6.4874612015,367.3431625385,15565.333668132,3.7633806084,84.1099014035,136.445715972,149.3195155204,1347.4520600247,19.2820136822,4.2859507273,10.7306320275,1.6414402089,57.1752679237,3.9281904119,4.5532708686,96.1223232247,10.3902214529,1.3073301597,33.2591851244,34.2604840684,1,17.4582724185
2024-10-14,1.4871202062,1.7850202863,5.5954206036,1.3800702113,0.8621401417,7.0833513158,23.1266335472,6.8379510532,0.9165301656,0.7653000888,7.7608913083,6.4786308945,367.1741277649,15536.936084262,3.7628106462,83.9846136382,136.4680195541,149.6747767258,1353.590950671,19.4263330437,4.296220715,10.7979020675,1.6418601761,57.4442996643,3.9318007732,4.5582207523,95.9087366207,10.4213013526,1.3075802436,33.2737939036,34.2463351128,1,17.5438533297
2024-10-15,1.497390271,1.7922203526,5.6561306797,1.3779501906,0.8624001329,7.1211909687,23.1531228146,6.8535508842,0.9184401697,0.7653601426,7.7660810459,6.4791212486,367.3629632051,15566.672842335,3.7560304441,84.0216552101,136.9575746738,149.0823643714,1362.8099389665,19.6936334405,4.3101805996,10.8275817204,1.6510502569,57.8356584008,3.943000782,4.5710505554,96.7403668418,10.4194913121,1.3094101632,33.3113236405,34.1966859296,1,17.6495922948
2024-10-16,1.5005802879,1.7933402479,5.6616810208,1.3752802433,0.8654301152,7.1194607865,23.2708230665,6.8694308245,0.9208301431,0.7698201034,7.7687511234,6.5169312314,369.4103909202,15493.227507327,3.7655006962,83.992315704,137.4904058886,149.561991261,1360.5776389761,19.9006227191,4.2940506719,10.9147017358,1.6507901957,57.7559775391,3.9550706613,4.5817106228,96.7097919611,10.5031613371,1.3130701773,33.2073134883,34.1542064745,1,17.6388830318
2024-10-17,1.4921802807,1.7922902277,5.6516506901,1.3794702722,0.8658601259,7.1210008293,23.2689823342,6.8859808639,0.9232701632,0.7682301334,7.7721309351,6.5034608218,369.1923989449,15473.194919059,3.7274504018,83.9869799289,137.794728958,150.0749203693,1367.2458510313,19.8041824797,4.3089606788,10.9147321488,1.6497902989,57.8175375778,3.976150664,4.593090478,96.6789414959,10.5426817316,1.3138701468,33.1857838884,34.1559150865,1,17.6548931663
2024-10-18,1.4909902322,1.7981203199,5.6950910017,1.3800402242,0.8644800941,7.0934813929,23.2063744011,6.8636409628,0.9200201549,0.7662000872,7.7683009188,6.4862206551,367.8114285604,15433.707001154,3.715130589,84.0325011418,137.2064729739,149.5054399079,1366.9234910051,19.8945730837,4.3006604496,10.9248015282,1.6468502925,57.4384690791,3.9650804073,4.5764105038,96.5421757358,10.5153420579,1.3091601331,33.1346644642,34.2321639192,1,17.5682523352
2024-10-19,1.4912701714,1.7979902814,5.6961807831,1.3803101389,0.8646401034,7.0960309525,23.2108232423,6.8649607095,0.9202001355,0.7663400918,7.7697909122,6.4874607635,368.0106535247,15436.587094399,3.7158404998,84.0486012855,137.2557528912,149.5340751524,1367.1854746942,19.866042126,4.3017704817,10.9268918077,1.6471702321,57.4559812832,3.960280473,4.5772906266,96.5752335771,10.5173620319,1.3094101386,33.1410165468,34.2387264904,1,17.5716132214
2024-10-20,1.489890284,1.797990354,5.6918107277,1.3801201655,0.8649601359,7.1036210126,23.2253831,6.8625311898,0.9203901104,0.7663401459,7.7690214342,6.4874607056,368.2964643717,15450.45880956,3.7051706752,84.0631623853,137.2557461084,149.6314059186,1368.1663383256,19.8613735102,4.2997208435,10.9199220528,1.6460101647,57.4906191647,3.959620616,4.5762609039,96.7154712566,10.5191217949,1.3099901478,33.1032333463,34.2450064117,1,17.5902424901
2024-10-21,1.5035002099,1.8011702918,5.7025510585,1.383660156,0.8657301484,7.1171608162,23.3591237842,6.8953408183,0.9246500938,0.7704001016,7.7724514764,6.5218511075,370.9904724692,15473.800296792,3.7844206408,84.0541806707,137.7282487198,150.6171116397,1375.1562792954,19.9601728825,4.3046806545,10.9479116444,1.6602802258,57.6085966229,3.9927604266,4.5975109084,96.5401271526,10.5583915259,1.3165301803,33.5095858731,34.2543350599,1,17.6171431209
2024-10-22,1.496360247,1.8017002514,5.7032309598,1.3818302549,0.865600107,7.1224811026,23.348843252,6.9054409972,0.9260301294,0.7702900864,7.7716214944,6.5208912471,370.628073664,15542.095543721,3.7739607006,84.021860538,138.1433096407,151.1196485953,1377.0501545291,19.9361422287,4.3270605649,10.9198018086,1.6542101657,57.7849597723,4.0028105858,4.6057307897,96.2456154657,10.5379714464,1.3162302162,33.5183848106,34.2564837439,1,17.5282129555
